id,nome,tipo_lixo,latitude,longitude,endereco
203,Ministério da Ciência Tecnologia e Inovação - MCTI,pilhas,-15.799636683183929,-47.869993291399226,Bloco E Zona Cívico-Administrativa Esplanada dos Ministérios
204,Parque Ecológico dos Jequitibás,pilhas,-15.640845579782068,-47.78868429139922,Quadra 10/11 Avenida do Contorno - Sobradinho
205,Rodoviaria Plano Piloto,pilhas,-15.793010285180687,-47.88279099139921,Eixo Rodoviário de Brasília - Plano Piloto
206,Senado Federal,pilhas,-15.79896274725224,-47.86406973558175,Praça dos Três Poderes - Plano Piloto
207,Senac Ceilândia DF,pilhas,-15.81971112817658,-48.11016879139921,Ceilândia Norte QNN 1 - Ceilândia
208,Sesc 913 Sul,pilhas,-15.820218483848832,-47.92211094721668,SEPS Q 713/913 Quadra 713/913 - Asa Sul
209,Sesc Ceilândia,pilhas,-15.82004763876127,-48.12231836256271,QNN 27 Área Especial S/N Ceilândia Norte QNN 27 Área Especial Lote B - Ceilândia
210,Sesc Gama,pilhas,-16.01008343197213,-48.059493106745236,Setor Leste Industrial Lotes 620 a 680 QI 1 - Gama
211,Sesc Taguatinga Norte,pilhas,-15.819070912612911,-48.06240276441825,St. B Norte CNB 12 Área Especial 2/3 Área Especial 2/3 - Taguatinga
212,Sesc Taguatinga Sul,pilhas,-15.866271037599086,-48.03697804907223,St. F Sul Área Especial 3 - Taguatinga
213,Senai Gama,pilhas,-16.026575680348067,-48.07461044907223,St. Sul EQ 2/8 - Gama
214,FIBRA - Federação das Indústrias do Distrito Federal,pilhas,-15.802658116580265,-47.95324330674525,SIA Trecho 3 - Zona Industrial
215,SESI - SENAI Sobradinho,pilhas,-15.641213285702593,-47.787722133726206,Q 13 Área Especial 3 Lotes A/F
216,Sindicato dos Bancários e Teatro dos Bancários,pilhas,-15.826016234936983,-47.92355154721669,Asa Sul Eqs 314/315 BL A - Asa Sul
217,ADUnB Associação dos Docentes da UnB e UnB Secretaria de Gestão Patrimonial - SPI -UnB,pilhas,-15.76670289531071,-47.872289635581744,Campus Universitário Darcy Ribeiro - Gleba A - Casa do Professor - Asa Norte
